station,datetime,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
torrejon_08227,2024-10-01 00:00:00+02:00,16.0,3.1,42.0,,,20.0,13.0,,1019.0,,
torrejon_08227,2024-10-01 01:00:00+02:00,13.0,4.9,58.0,,,20.0,9.4,,1019.0,,
torrejon_08227,2024-10-01 02:00:00+02:00,12.0,4.9,62.0,,,10.0,11.2,,1019.0,,
torrejon_08227,2024-10-01 03:00:00+02:00,13.0,4.9,58.0,,,30.0,11.2,,1019.0,,
torrejon_08227,2024-10-01 04:00:00+02:00,12.0,4.9,62.0,,,30.0,7.6,,1018.0,,
torrejon_08227,2024-10-01 05:00:00+02:00,11.0,5.1,67.0,,,10.0,5.4,,1018.0,,
torrejon_08227,2024-10-01 06:00:00+02:00,10.0,5.0,71.0,,,20.0,5.4,,1018.0,,
torrejon_08227,2024-10-01 07:00:00+02:00,10.0,5.0,71.0,,,30.0,7.6,,1018.0,,
torrejon_08227,2024-10-01 08:00:00+02:00,11.0,5.1,67.0,,,20.0,5.4,,1018.0,,
torrejon_08227,2024-10-01 09:00:00+02:00,12.0,4.9,62.0,,,30.0,3.6,,1019.0,,
torrejon_08227,2024-10-01 10:00:00+02:00,13.0,6.1,63.0,,,,3.6,,1019.0,,
torrejon_08227,2024-10-01 11:00:00+02:00,17.0,5.9,48.0,,,,3.6,,1019.0,,
torrejon_08227,2024-10-01 12:00:00+02:00,19.0,7.1,46.0,,,40.0,1.8,,1019.0,,
torrejon_08227,2024-10-01 13:00:00+02:00,21.0,7.9,43.0,,,200.0,9.4,,1018.0,,
torrejon_08227,2024-10-01 14:00:00+02:00,23.0,7.1,36.0,,,190.0,7.6,,1017.0,,
torrejon_08227,2024-10-01 15:00:00+02:00,25.0,7.2,32.0,,,190.0,11.2,,1016.0,,
torrejon_08227,2024-10-01 16:00:00+02:00,26.0,6.1,28.0,,,260.0,11.2,,1016.0,,
torrejon_08227,2024-10-01 17:00:00+02:00,28.0,7.3,27.0,,,250.0,9.4,,1015.0,,
torrejon_08227,2024-10-01 18:00:00+02:00,28.0,4.9,23.0,,,200.0,9.4,,1015.0,,
torrejon_08227,2024-10-01 19:00:00+02:00,28.0,7.3,27.0,,,270.0,13.0,,1015.0,,
torrejon_08227,2024-10-01 20:00:00+02:00,25.0,6.2,30.0,,,250.0,9.4,,1015.0,,
torrejon_08227,2024-10-01 21:00:00+02:00,22.0,8.8,43.0,,,330.0,1.8,,1015.0,,
torrejon_08227,2024-10-01 22:00:00+02:00,20.0,10.1,53.0,,,,1.8,,1016.0,,
torrejon_08227,2024-10-01 23:00:00+02:00,20.0,10.1,53.0,,,,3.6,,1016.0,,
torrejon_08227,2024-10-02 00:00:00+02:00,18.0,9.1,56.0,,,350.0,1.8,,1016.0,,
torrejon_08227,2024-10-02 01:00:00+02:00,21.0,12.9,60.0,,,280.0,11.2,,1016.0,,
torrejon_08227,2024-10-02 02:00:00+02:00,18.0,10.1,60.0,,,20.0,9.4,,1016.0,,
torrejon_08227,2024-10-02 03:00:00+02:00,17.0,9.9,63.0,,,,3.6,,1016.0,,
torrejon_08227,2024-10-02 04:00:00+02:00,16.0,10.1,68.0,,,10.0,7.6,,1015.0,,
torrejon_08227,2024-10-02 05:00:00+02:00,16.0,11.0,72.0,,,40.0,13.0,,1015.0,,
torrejon_08227,2024-10-02 06:00:00+02:00,15.0,11.0,77.0,,,10.0,7.6,,1015.0,,
torrejon_08227,2024-10-02 07:00:00+02:00,16.0,11.0,72.0,,,40.0,5.4,,1014.0,,
torrejon_08227,2024-10-02 08:00:00+02:00,16.0,11.0,72.0,,,,1.8,,1014.0,,
torrejon_08227,2024-10-02 09:00:00+02:00,16.0,11.0,72.0,,,210.0,3.6,,1014.0,,
torrejon_08227,2024-10-02 10:00:00+02:00,19.0,12.0,64.0,,,200.0,9.4,,1014.0,,
torrejon_08227,2024-10-02 11:00:00+02:00,21.0,12.9,60.0,,,200.0,11.2,,1014.0,,
torrejon_08227,2024-10-02 12:00:00+02:00,22.0,14.1,61.0,,,210.0,16.6,,1014.0,,
torrejon_08227,2024-10-02 13:00:00+02:00,24.0,12.9,50.0,,,230.0,22.3,,1013.0,,
torrejon_08227,2024-10-02 14:00:00+02:00,25.0,12.9,47.0,,,250.0,16.6,,1012.0,,
torrejon_08227,2024-10-02 15:00:00+02:00,25.0,14.2,51.0,,,210.0,18.4,,1011.0,,
torrejon_08227,2024-10-02 16:00:00+02:00,25.0,14.2,51.0,,,210.0,25.9,,1011.0,,
torrejon_08227,2024-10-02 17:00:00+02:00,24.0,12.9,50.0,,,230.0,29.5,,1010.0,,
torrejon_08227,2024-10-02 18:00:00+02:00,23.0,14.0,57.0,,,240.0,33.5,,1010.0,,
torrejon_08227,2024-10-02 19:00:00+02:00,22.0,16.1,69.0,,,250.0,24.1,,1010.0,,
torrejon_08227,2024-10-02 20:00:00+02:00,21.0,16.0,73.0,,,240.0,18.4,,1010.0,,
torrejon_08227,2024-10-02 21:00:00+02:00,20.0,16.0,78.0,,,240.0,25.9,,1010.0,,
torrejon_08227,2024-10-02 22:00:00+02:00,21.0,16.0,73.0,,,240.0,24.1,,1010.0,,
torrejon_08227,2024-10-02 23:00:00+02:00,20.0,15.0,73.0,,,240.0,20.5,,1010.0,,
torrejon_08227,2024-10-03 00:00:00+02:00,21.0,15.1,69.0,,,260.0,16.6,,1010.0,,
torrejon_08227,2024-10-03 01:00:00+02:00,18.0,14.1,78.0,,,310.0,13.0,,1011.0,,
torrejon_08227,2024-10-03 02:00:00+02:00,18.0,13.1,73.0,,,330.0,20.5,,1012.0,,
torrejon_08227,2024-10-03 03:00:00+02:00,18.0,13.1,73.0,,,360.0,11.2,,1012.0,,
torrejon_08227,2024-10-03 04:00:00+02:00,18.0,13.1,73.0,,,20.0,9.4,,1012.0,,
torrejon_08227,2024-10-03 05:00:00+02:00,15.0,12.0,82.0,,,20.0,13.0,,1012.0,,
torrejon_08227,2024-10-03 06:00:00+02:00,16.0,11.0,72.0,,,80.0,3.6,,1012.0,,
torrejon_08227,2024-10-03 07:00:00+02:00,16.0,11.0,72.0,,,60.0,3.6,,1013.0,,
torrejon_08227,2024-10-03 08:00:00+02:00,16.0,10.1,68.0,,,360.0,13.0,,1013.0,,
torrejon_08227,2024-10-03 09:00:00+02:00,17.0,9.9,63.0,,,40.0,9.4,,1014.0,,
torrejon_08227,2024-10-03 10:00:00+02:00,18.0,10.1,60.0,,,110.0,7.6,,1015.0,,
torrejon_08227,2024-10-03 11:00:00+02:00,19.0,10.0,56.0,,,20.0,18.4,,1015.0,,
torrejon_08227,2024-10-03 12:00:00+02:00,20.0,9.0,49.0,,,330.0,11.2,,1015.0,,
torrejon_08227,2024-10-03 13:00:00+02:00,22.0,8.1,41.0,,,340.0,9.4,,1015.0,,
torrejon_08227,2024-10-03 14:00:00+02:00,23.0,7.1,36.0,,,340.0,11.2,,1014.0,,
torrejon_08227,2024-10-03 15:00:00+02:00,24.0,7.2,34.0,,,350.0,16.6,,1014.0,,
torrejon_08227,2024-10-03 16:00:00+02:00,24.0,3.8,27.0,,,280.0,7.6,,1013.0,,
torrejon_08227,2024-10-03 17:00:00+02:00,24.0,4.9,29.0,,,350.0,13.0,,1013.0,,
torrejon_08227,2024-10-03 18:00:00+02:00,24.0,5.8,31.0,,,350.0,18.4,,1014.0,,
torrejon_08227,2024-10-03 19:00:00+02:00,22.0,5.0,33.0,,,360.0,16.6,,1014.0,,
torrejon_08227,2024-10-03 20:00:00+02:00,20.0,6.0,40.0,,,10.0,11.2,,1014.0,,
torrejon_08227,2024-10-03 21:00:00+02:00,19.0,6.1,43.0,,,70.0,7.6,,1015.0,,
torrejon_08227,2024-10-03 22:00:00+02:00,18.0,7.1,49.0,,,40.0,9.4,,1015.0,,
torrejon_08227,2024-10-03 23:00:00+02:00,17.0,5.9,48.0,,,60.0,11.2,,1016.0,,
torrejon_08227,2024-10-04 00:00:00+02:00,15.0,6.0,55.0,,,30.0,11.2,,1016.0,,
torrejon_08227,2024-10-04 01:00:00+02:00,13.0,6.1,63.0,,,270.0,3.6,,1016.0,,
torrejon_08227,2024-10-04 02:00:00+02:00,12.0,6.1,67.0,,,50.0,5.4,,1016.0,,
torrejon_08227,2024-10-04 03:00:00+02:00,12.0,6.1,67.0,,,30.0,5.4,,1016.0,,
torrejon_08227,2024-10-04 04:00:00+02:00,11.0,5.1,67.0,,,30.0,5.4,,1016.0,,
torrejon_08227,2024-10-04 05:00:00+02:00,11.0,5.9,71.0,,,10.0,5.4,,1016.0,,
torrejon_08227,2024-10-04 06:00:00+02:00,11.0,5.9,71.0,,,60.0,3.6,,1016.0,,
torrejon_08227,2024-10-04 07:00:00+02:00,11.0,5.9,71.0,,,350.0,3.6,,1016.0,,
